Lua Diagnostics | Errors: 0 | Warnings: 1846 | EmmyLua Types: /workspace/.emmylua
Info: 0 | Hints: 374 | Total: 2220 | Time: 2026-06-19 23:08:57 | Dir: /workspace/scripts
---
WARN  | bgm.lua:64:8 | Unnecessary `if` statement: this condition is always truthy [unnecessary-if]
WARN  | bgm.lua:22:29 | Undefined field `CreateChild`. [undefined-field]
WARN  | bgm.lua:47:21 | Undefined field `Play`. [undefined-field]
WARN  | bgm.lua:57:24 | Undefined field `playing`. [undefined-field]
WARN  | bgm.lua:65:21 | Undefined field `Stop`. [undefined-field]
WARN  | bgm.lua:73:21 | Undefined field `Stop`. [undefined-field]
WARN  | bgm.lua:75:28 | Undefined field `playing`. [undefined-field]
WARN  | callbacks.lua:130:12 | Unnecessary `if` statement: this condition is always truthy [unnecessary-if]
WARN  | callbacks.lua:28:9 | Cannot call expression of type `never`. [call-non-callable]
WARN  | callbacks.lua:33:9 | Cannot call expression of type `never`. [call-non-callable]
WARN  | callbacks.lua:38:9 | Cannot call expression of type `never`. [call-non-callable]
WARN  | callbacks.lua:54:9 | Cannot call expression of type `never`. [call-non-callable]
WARN  | callbacks.lua:135:9 | Cannot call expression of type `never`. [call-non-callable]
WARN  | callbacks.lua:139:9 | Cannot call expression of type `never`. [call-non-callable]
WARN  | callbacks.lua:140:9 | Cannot call expression of type `never`. [call-non-callable]
WARN  | callbacks.lua:147:9 | Cannot call expression of type `never`. [call-non-callable]
WARN  | callbacks.lua:151:9 | Cannot call expression of type `never`. [call-non-callable]
WARN  | callbacks.lua:155:9 | Cannot call expression of type `never`. [call-non-callable]
WARN  | callbacks.lua:23:9 | G may be nil [need-check-nil]
WARN  | callbacks.lua:27:9 | G may be nil [need-check-nil]
WARN  | callbacks.lua:28:9 | GameMode may be nil [need-check-nil]
WARN  | callbacks.lua:32:9 | G may be nil [need-check-nil]
WARN  | callbacks.lua:33:9 | GameMode may be nil [need-check-nil]
WARN  | callbacks.lua:37:9 | G may be nil [need-check-nil]
WARN  | callbacks.lua:38:9 | PauseUI may be nil [need-check-nil]
WARN  | callbacks.lua:42:9 | G may be nil [need-check-nil]
WARN  | callbacks.lua:46:9 | G may be nil [need-check-nil]
WARN  | callbacks.lua:54:9 | GameMode may be nil [need-check-nil]
WARN  | callbacks.lua:62:9 | G may be nil [need-check-nil]
WARN  | callbacks.lua:66:28 | G may be nil [need-check-nil]
WARN  | callbacks.lua:78:9 | G may be nil [need-check-nil]
WARN  | callbacks.lua:81:9 | G may be nil [need-check-nil]
WARN  | callbacks.lua:84:9 | G may be nil [need-check-nil]
WARN  | callbacks.lua:87:9 | G may be nil [need-check-nil]
WARN  | callbacks.lua:90:9 | G may be nil [need-check-nil]
WARN  | callbacks.lua:93:9 | G may be nil [need-check-nil]
WARN  | callbacks.lua:96:9 | G may be nil [need-check-nil]
WARN  | callbacks.lua:99:9 | G may be nil [need-check-nil]
WARN  | callbacks.lua:106:21 | G may be nil [need-check-nil]
WARN  | callbacks.lua:106:34 | G may be nil [need-check-nil]
WARN  | callbacks.lua:107:21 | G may be nil [need-check-nil]
WARN  | callbacks.lua:110:21 | G may be nil [need-check-nil]
WARN  | callbacks.lua:110:34 | G may be nil [need-check-nil]
WARN  | callbacks.lua:111:21 | G may be nil [need-check-nil]
WARN  | callbacks.lua:114:21 | G may be nil [need-check-nil]
WARN  | callbacks.lua:114:34 | G may be nil [need-check-nil]
WARN  | callbacks.lua:115:21 | G may be nil [need-check-nil]
WARN  | callbacks.lua:118:21 | G may be nil [need-check-nil]
WARN  | callbacks.lua:118:34 | G may be nil [need-check-nil]
WARN  | callbacks.lua:119:21 | G may be nil [need-check-nil]
WARN  | callbacks.lua:122:21 | G may be nil [need-check-nil]
WARN  | callbacks.lua:122:34 | G may be nil [need-check-nil]
WARN  | callbacks.lua:123:21 | G may be nil [need-check-nil]
WARN  | callbacks.lua:130:12 | G may be nil [need-check-nil]
WARN  | callbacks.lua:130:35 | G may be nil [need-check-nil]
