Lua Errors: 225 | Dir: /workspace/scripts | Time: 2026-06-01 23:13:46
EmmyLua Types: /workspace/.emmylua
---
ERROR | menu_overlay.lua:90:11 | Redefined local `bg`. [redefined-local]
ERROR | menu_overlay.lua:111:11 | Redefined local `btnStart`. [redefined-local]
ERROR | menu_overlay.lua:143:11 | Redefined local `btnExit`. [redefined-local]
ERROR | menu_overlay.lua:2:9 | Undefined global `HEAD`. [undefined-global]
ERROR | menu_overlay.lua:7:9 | Undefined global `origin`. [undefined-global]
ERROR | menu_overlay.lua:7:16 | Undefined global `arts`. [undefined-global]
ERROR | menu_overlay.lua:123:9 | Undefined global `HEAD`. [undefined-global]
ERROR | menu_overlay.lua:155:9 | Undefined global `HEAD`. [undefined-global]
ERROR | menu_overlay.lua:16:9 | Undefined global `HEAD`. [undefined-global]
ERROR | menu_overlay.lua:31:9 | Undefined global `HEAD`. [undefined-global]
ERROR | menu_overlay.lua:117:9 | Undefined global `origin`. [undefined-global]
ERROR | menu_overlay.lua:117:16 | Undefined global `arts`. [undefined-global]
ERROR | menu_overlay.lua:149:9 | Undefined global `origin`. [undefined-global]
ERROR | menu_overlay.lua:149:16 | Undefined global `arts`. [undefined-global]
ERROR | menu_overlay.lua:256:5 | Undefined global `exitText`. [undefined-global]
ERROR | menu_overlay.lua:257:5 | Undefined global `exitText`. [undefined-global]
ERROR | menu_overlay.lua:260:22 | Undefined global `btnStart`. [undefined-global]
ERROR | menu_overlay.lua:261:22 | Undefined global `btnExit`. [undefined-global]
ERROR | menu_overlay.lua:265:9 | Undefined global `origin`. [undefined-global]
ERROR | menu_overlay.lua:265:16 | Undefined global `arts`. [undefined-global]
ERROR | menu_overlay.lua:271:9 | Undefined global `HEAD`. [undefined-global]
ERROR | menu_overlay.lua:274:9 | Undefined global `origin`. [undefined-global]
ERROR | menu_overlay.lua:274:16 | Undefined global `arts`. [undefined-global]
ERROR | menu_overlay.lua:21:9 | Undefined global `origin`. [undefined-global]
ERROR | menu_overlay.lua:21:16 | Undefined global `arts`. [undefined-global]
ERROR | menu_overlay.lua:255:5 | Undefined global `exitText`. [undefined-global]
ERROR | player.lua:27:7 | Redefined local `JUMP_FORCE`. [redefined-local]
ERROR | player.lua:28:7 | Redefined local `MAX_JUMPS`. [redefined-local]
ERROR | player.lua:29:7 | Redefined local `FALL_MULTIPLIER`. [redefined-local]
ERROR | player.lua:30:7 | Redefined local `MAX_HP`. [redefined-local]
ERROR | player.lua:32:7 | Redefined local `INVINCIBLE_DURATION`. [redefined-local]
ERROR | player.lua:33:7 | Redefined local `BLINK_INTERVAL`. [redefined-local]
ERROR | player.lua:34:7 | Redefined local `NEAR_DEATH_SPEED_MULT`. [redefined-local]
ERROR | player.lua:35:7 | Redefined local `ATTACK_RANGE`. [redefined-local]
ERROR | player.lua:36:7 | Redefined local `ATTACK_DAMAGE`. [redefined-local]
ERROR | player.lua:37:7 | Redefined local `ATTACK_COOLDOWN`. [redefined-local]
ERROR | player.lua:38:7 | Redefined local `SLAM_SPEED`. [redefined-local]
ERROR | player.lua:39:7 | Redefined local `SLAM_AOE_RANGE`. [redefined-local]
ERROR | player.lua:40:7 | Redefined local `SLAM_DAMAGE`. [redefined-local]
ERROR | player.lua:41:7 | Redefined local `SLAM_KNOCKBACK`. [redefined-local]
ERROR | player.lua:79:7 | Redefined local `WALK_COLS`. [redefined-local]
ERROR | player.lua:80:7 | Redefined local `IDLE_COLS`. [redefined-local]
ERROR | player.lua:81:7 | Redefined local `JUMP_COLS`. [redefined-local]
ERROR | player.lua:82:7 | Redefined local `ANIM_FPS`. [redefined-local]
ERROR | player.lua:85:7 | Redefined local `PLAYER_WIDTH`. [redefined-local]
ERROR | player.lua:86:7 | Redefined local `PLAYER_HEIGHT`. [redefined-local]
ERROR | player.lua:87:7 | Redefined local `SPRITE_OFFSET_Y`. [redefined-local]
ERROR | player.lua:610:11 | Redefined local `cols`. [redefined-local]
ERROR | player.lua:607:40 | Redefined local `dt`. [redefined-local]
ERROR | player.lua:777:11 | Redefined local `myPos`. [redefined-local]
ERROR | player.lua:726:19 | Redefined local `dist`. [redefined-local]
ERROR | player.lua:799:11 | Redefined local `myPos`. [redefined-local]
ERROR | player.lua:823:11 | Redefined local `myPos`. [redefined-local]
ERROR | player.lua:841:41 | Redefined local `fullCircle`. [redefined-local]
ERROR | player.lua:885:35 | Redefined local `dt`. [redefined-local]
ERROR | player.lua:909:30 | Redefined local `dt`. [redefined-local]
ERROR | player.lua:801:12 | Redefined local `e`. [redefined-local]
ERROR | player.lua:826:12 | Redefined local `e`. [redefined-local]
ERROR | player.lua:803:19 | Redefined local `enemyPos`. [redefined-local]
ERROR | player.lua:829:19 | Redefined local `distX`. [redefined-local]
ERROR | player.lua:1071:11 | Redefined local `endPoint`. [redefined-local]
ERROR | player.lua:935:30 | Redefined local `dt`. [redefined-local]
ERROR | player.lua:960:28 | Redefined local `amount`. [redefined-local]
ERROR | player.lua:390:9 | Undefined global `HEAD`. [undefined-global]
ERROR | player.lua:405:9 | Undefined global `HEAD`. [undefined-global]
ERROR | player.lua:397:9 | Undefined global `origin`. [undefined-global]
ERROR | player.lua:397:16 | Undefined global `arts`. [undefined-global]
ERROR | player.lua:412:5 | Undefined global `self`. [undefined-global]
ERROR | player.lua:420:5 | Undefined global `self`. [undefined-global]
ERROR | player.lua:426:9 | Undefined global `origin`. [undefined-global]
ERROR | player.lua:426:16 | Undefined global `arts`. [undefined-global]
ERROR | player.lua:439:5 | Undefined global `self`. [undefined-global]
ERROR | player.lua:462:5 | Undefined global `self`. [undefined-global]
ERROR | player.lua:5:9 | Undefined global `HEAD`. [undefined-global]
ERROR | player.lua:47:9 | Undefined global `HEAD`. [undefined-global]
ERROR | player.lua:78:1 | Undefined global `local`. [undefined-global]
ERROR | player.lua:279:9 | Undefined global `HEAD`. [undefined-global]
ERROR | player.lua:310:9 | Undefined global `HEAD`. [undefined-global]
ERROR | player.lua:465:5 | Undefined global `self`. [undefined-global]
ERROR | player.lua:465:27 | Undefined global `dt`. [undefined-global]
ERROR | player.lua:472:9 | Undefined global `HEAD`. [undefined-global]
ERROR | player.lua:491:9 | Undefined global `HEAD`. [undefined-global]
ERROR | player.lua:26:1 | Undefined global `local`. [undefined-global]
ERROR | player.lua:42:9 | Undefined global `origin`. [undefined-global]
ERROR | player.lua:42:16 | Undefined global `arts`. [undefined-global]
ERROR | player.lua:88:9 | Undefined global `origin`. [undefined-global]
ERROR | player.lua:88:16 | Undefined global `arts`. [undefined-global]
ERROR | player.lua:259:5 | Undefined global `local`. [undefined-global]
ERROR | player.lua:289:9 | Undefined global `origin`. [undefined-global]
ERROR | player.lua:289:16 | Undefined global `arts`. [undefined-global]
ERROR | player.lua:295:9 | Undefined global `HEAD`. [undefined-global]
ERROR | player.lua:369:9 | Undefined global `origin`. [undefined-global]
ERROR | player.lua:369:16 | Undefined global `arts`. [undefined-global]
ERROR | player.lua:380:9 | Undefined global `self`. [undefined-global]
ERROR | player.lua:381:9 | Undefined global `self`. [undefined-global]
ERROR | player.lua:384:9 | Undefined global `self`. [undefined-global]
ERROR | player.lua:385:9 | Undefined global `self`. [undefined-global]
ERROR | player.lua:387:9 | Undefined global `self`. [undefined-global]
ERROR | player.lua:392:8 | Undefined global `self`. [undefined-global]
ERROR | player.lua:398:5 | Undefined global `self`. [undefined-global]
ERROR | player.lua:408:9 | Undefined global `self`. [undefined-global]
ERROR | player.lua:414:9 | Undefined global `self`. [undefined-global]
ERROR | player.lua:421:8 | Undefined global `self`. [undefined-global]
ERROR | player.lua:422:9 | Undefined global `self`. [undefined-global]
ERROR | player.lua:443:9 | Undefined global `self`. [undefined-global]
ERROR | player.lua:480:9 | Undefined global `origin`. [undefined-global]
ERROR | player.lua:480:16 | Undefined global `arts`. [undefined-global]
ERROR | player.lua:96:9 | Undefined global `HEAD`. [undefined-global]
ERROR | player.lua:117:9 | Undefined global `HEAD`. [undefined-global]
ERROR | player.lua:132:9 | Undefined global `HEAD`. [undefined-global]
ERROR | player.lua:145:9 | Undefined global `HEAD`. [undefined-global]
ERROR | player.lua:157:9 | Undefined global `HEAD`. [undefined-global]
ERROR | player.lua:202:9 | Undefined global `HEAD`. [undefined-global]
ERROR | player.lua:300:9 | Undefined global `origin`. [undefined-global]
ERROR | player.lua:300:16 | Undefined global `arts`. [undefined-global]
ERROR | player.lua:377:23 | Undefined global `self`. [undefined-global]
ERROR | player.lua:407:8 | Undefined global `self`. [undefined-global]
ERROR | player.lua:408:53 | Undefined global `dt`. [undefined-global]
ERROR | player.lua:412:23 | Undefined global `self`. [undefined-global]
ERROR | player.lua:413:8 | Undefined global `self`. [undefined-global]
ERROR | player.lua:420:23 | Undefined global `self`. [undefined-global]
ERROR | player.lua:442:8 | Undefined global `self`. [undefined-global]
ERROR | player.lua:443:53 | Undefined global `dt`. [undefined-global]
ERROR | player.lua:99:9 | Undefined global `origin`. [undefined-global]
ERROR | player.lua:99:16 | Undefined global `arts`. [undefined-global]
ERROR | player.lua:121:9 | Undefined global `origin`. [undefined-global]
ERROR | player.lua:121:16 | Undefined global `arts`. [undefined-global]
ERROR | player.lua:137:9 | Undefined global `origin`. [undefined-global]
ERROR | player.lua:137:16 | Undefined global `arts`. [undefined-global]
ERROR | player.lua:170:9 | Undefined global `origin`. [undefined-global]
ERROR | player.lua:170:16 | Undefined global `arts`. [undefined-global]
ERROR | player.lua:264:9 | Undefined global `origin`. [undefined-global]
ERROR | player.lua:264:16 | Undefined global `arts`. [undefined-global]
ERROR | player.lua:378:8 | Undefined global `self`. [undefined-global]
ERROR | player.lua:382:12 | Undefined global `self`. [undefined-global]
ERROR | player.lua:402:9 | Undefined global `self`. [undefined-global]
ERROR | player.lua:408:31 | Undefined global `self`. [undefined-global]
ERROR | player.lua:413:28 | Undefined global `self`. [undefined-global]
ERROR | player.lua:427:24 | Undefined global `self`. [undefined-global]
ERROR | player.lua:428:27 | Undefined global `self`. [undefined-global]
ERROR | player.lua:432:13 | Undefined global `self`. [undefined-global]
ERROR | player.lua:434:13 | Undefined global `self`. [undefined-global]
ERROR | player.lua:443:31 | Undefined global `self`. [undefined-global]
ERROR | player.lua:447:26 | Undefined global `self`. [undefined-global]
ERROR | player.lua:449:52 | Undefined global `self`. [undefined-global]
ERROR | player.lua:453:9 | Undefined global `HEAD`. [undefined-global]
ERROR | player.lua:454:16 | Undefined global `self`. [undefined-global]
ERROR | player.lua:457:9 | Undefined global `origin`. [undefined-global]
ERROR | player.lua:457:16 | Undefined global `arts`. [undefined-global]
ERROR | player.lua:149:9 | Undefined global `origin`. [undefined-global]
ERROR | player.lua:149:16 | Undefined global `arts`. [undefined-global]
ERROR | player.lua:363:5 | Undefined global `if`. [undefined-global]
ERROR | player.lua:429:12 | Undefined global `self`. [undefined-global]
ERROR | player.lua:433:9 | Undefined global `HEAD`. [undefined-global]
ERROR | player.lua:449:29 | Undefined global `self`. [undefined-global]
ERROR | player.lua:450:16 | Undefined global `self`. [undefined-global]
ERROR | player.lua:459:13 | Undefined global `self`. [undefined-global]
ERROR | player.lua:500:5 | Undefined global `local`. [undefined-global]
ERROR | player.lua:536:9 | Undefined global `HEAD`. [undefined-global]
ERROR | player.lua:430:13 | Undefined global `self`. [undefined-global]
ERROR | player.lua:431:13 | Undefined global `self`. [undefined-global]
ERROR | player.lua:436:9 | Undefined global `origin`. [undefined-global]
ERROR | player.lua:436:16 | Undefined global `arts`. [undefined-global]
ERROR | player.lua:452:13 | Undefined global `self`. [undefined-global]
ERROR | player.lua:393:37 | Undefined global `self`. [undefined-global]
ERROR | player.lua:432:30 | Undefined global `self`. [undefined-global]
ERROR | player.lua:518:9 | Undefined global `HEAD`. [undefined-global]
ERROR | player.lua:605:9 | Undefined global `HEAD`. [undefined-global]
ERROR | player.lua:510:9 | Undefined global `origin`. [undefined-global]
ERROR | player.lua:510:16 | Undefined global `arts`. [undefined-global]
ERROR | player.lua:589:9 | Undefined global `HEAD`. [undefined-global]
ERROR | player.lua:528:9 | Undefined global `origin`. [undefined-global]
ERROR | player.lua:528:16 | Undefined global `arts`. [undefined-global]
ERROR | player.lua:593:9 | Undefined global `origin`. [undefined-global]
ERROR | player.lua:593:16 | Undefined global `arts`. [undefined-global]
ERROR | player.lua:765:9 | Undefined global `HEAD`. [undefined-global]
ERROR | player.lua:584:9 | Undefined global `origin`. [undefined-global]
ERROR | player.lua:584:16 | Undefined global `arts`. [undefined-global]
ERROR | player.lua:705:9 | Undefined global `origin`. [undefined-global]
ERROR | player.lua:705:16 | Undefined global `arts`. [undefined-global]
ERROR | player.lua:714:9 | Undefined global `HEAD`. [undefined-global]
ERROR | player.lua:736:9 | Undefined global `HEAD`. [undefined-global]
ERROR | player.lua:748:9 | Undefined global `HEAD`. [undefined-global]
ERROR | player.lua:760:9 | Undefined global `origin`. [undefined-global]
ERROR | player.lua:760:16 | Undefined global `arts`. [undefined-global]
ERROR | player.lua:740:9 | Undefined global `origin`. [undefined-global]
ERROR | player.lua:740:16 | Undefined global `arts`. [undefined-global]
ERROR | player.lua:907:9 | Undefined global `HEAD`. [undefined-global]
ERROR | player.lua:815:9 | Undefined global `HEAD`. [undefined-global]
ERROR | player.lua:730:9 | Undefined global `origin`. [undefined-global]
ERROR | player.lua:730:16 | Undefined global `arts`. [undefined-global]
ERROR | player.lua:881:9 | Undefined global `origin`. [undefined-global]
ERROR | player.lua:881:16 | Undefined global `arts`. [undefined-global]
ERROR | player.lua:1081:9 | Undefined global `HEAD`. [undefined-global]
ERROR | player.lua:1106:9 | Undefined global `origin`. [undefined-global]
ERROR | player.lua:1106:16 | Undefined global `arts`. [undefined-global]
ERROR | player.lua:807:9 | Undefined global `origin`. [undefined-global]
ERROR | player.lua:807:16 | Undefined global `arts`. [undefined-global]
ERROR | player.lua:957:9 | Undefined global `HEAD`. [undefined-global]
ERROR | player.lua:1006:9 | Undefined global `HEAD`. [undefined-global]
ERROR | player.lua:1010:9 | Undefined global `origin`. [undefined-global]
ERROR | player.lua:1010:16 | Undefined global `arts`. [undefined-global]
ERROR | player.lua:1022:9 | Undefined global `HEAD`. [undefined-global]
ERROR | player.lua:1043:9 | Undefined global `origin`. [undefined-global]
ERROR | player.lua:1043:16 | Undefined global `arts`. [undefined-global]
ERROR | player.lua:1066:9 | Undefined global `HEAD`. [undefined-global]
ERROR | player.lua:1070:5 | Undefined global `local`. [undefined-global]
ERROR | player.lua:1122:9 | Undefined global `HEAD`. [undefined-global]
ERROR | player.lua:1131:9 | Undefined global `HEAD`. [undefined-global]
ERROR | player.lua:961:9 | Undefined global `origin`. [undefined-global]
ERROR | player.lua:961:16 | Undefined global `arts`. [undefined-global]
ERROR | player.lua:1072:9 | Undefined global `origin`. [undefined-global]
ERROR | player.lua:1072:16 | Undefined global `arts`. [undefined-global]
ERROR | player.lua:1126:9 | Undefined global `origin`. [undefined-global]
ERROR | player.lua:1126:16 | Undefined global `arts`. [undefined-global]
ERROR | player.lua:970:9 | Undefined global `HEAD`. [undefined-global]
ERROR | player.lua:989:9 | Undefined global `origin`. [undefined-global]
ERROR | player.lua:989:16 | Undefined global `arts`. [undefined-global]
ERROR | player.lua:1148:9 | Undefined global `HEAD`. [undefined-global]
ERROR | player.lua:1152:9 | Undefined global `origin`. [undefined-global]
ERROR | player.lua:1152:16 | Undefined global `arts`. [undefined-global]
ERROR | player.lua:950:9 | Undefined global `origin`. [undefined-global]
ERROR | player.lua:950:16 | Undefined global `arts`. [undefined-global]
ERROR | player.lua:1143:9 | Undefined global `origin`. [undefined-global]
ERROR | player.lua:1143:16 | Undefined global `arts`. [undefined-global]
